method,seed,bits,noise_std,mse_interp,mse_extrap,l_physics,train_s
A_StdNN,2,8,0.0,0.003482065163552761,0.32857590913772583,0.8744277954101562,1.5938584804534912
A_StdNN,2,8,0.05,0.003619626397266984,0.3299359381198883,0.7843625545501709,1.5938584804534912
A_StdNN,2,8,0.1,0.004699544981122017,0.3213602900505066,0.6855359077453613,1.5938584804534912
A_StdNN,3,2,0.0,0.9602259993553162,1.9712939262390137,6.391458511352539,1.6341314315795898
A_StdNN,3,2,0.05,0.9464446902275085,1.8669445514678955,7.5642828941345215,1.6341314315795898
A_StdNN,3,2,0.1,0.9261335730552673,1.7430285215377808,8.968313217163086,1.6341314315795898
A_StdNN,3,4,0.0,0.008424527011811733,0.5306247472763062,1.4189257621765137,1.6341314315795898
A_StdNN,3,4,0.05,0.008268957026302814,0.5116150975227356,1.357696771621704,1.6341314315795898
A_StdNN,3,4,0.1,0.009721021167933941,0.4582592844963074,1.2701818943023682,1.6341314315795898
A_StdNN,3,6,0.0,0.003566776169463992,0.5651267170906067,1.511432409286499,1.6341314315795898
A_StdNN,3,6,0.05,0.0036980542354285717,0.5488135814666748,1.4401615858078003,1.6341314315795898
A_StdNN,3,6,0.1,0.004646384622901678,0.5025535821914673,1.338574767112732,1.6341314315795898
A_StdNN,3,8,0.0,0.003214137628674507,0.5800591707229614,1.5525435209274292,1.6341314315795898
A_StdNN,3,8,0.05,0.003346517914906144,0.5632203817367554,1.482481837272644,1.6341314315795898
A_StdNN,3,8,0.1,0.004076061770319939,0.5154474973678589,1.3777647018432617,1.6341314315795898
A_StdNN,4,2,0.0,0.36690372228622437,0.5904431939125061,2.0174732208251953,1.9372484683990479
A_StdNN,4,2,0.05,0.37625399231910706,0.6329523921012878,2.5854721069335938,1.9372484683990479
A_StdNN,4,2,0.1,0.3865942358970642,0.6726864576339722,3.021211862564087,1.9372484683990479
A_StdNN,4,4,0.0,0.011303650215268135,0.7489383220672607,2.036709785461426,1.9372484683990479
A_StdNN,4,4,0.05,0.009135791100561619,0.7252179980278015,1.8623104095458984,1.9372484683990479
A_StdNN,4,4,0.1,0.006577870808541775,0.6657952666282654,1.6445661783218384,1.9372484683990479
A_StdNN,4,6,0.0,0.005474358797073364,0.6424406170845032,1.744221568107605,1.9372484683990479
A_StdNN,4,6,0.05,0.004517693072557449,0.6208270192146301,1.5840948820114136,1.9372484683990479
A_StdNN,4,6,0.1,0.004014809615910053,0.5683262944221497,1.3727731704711914,1.9372484683990479
A_StdNN,4,8,0.0,0.004810674116015434,0.6683940291404724,1.8130332231521606,1.9372484683990479
A_StdNN,4,8,0.05,0.004070402588695288,0.6464803218841553,1.632066011428833,1.9372484683990479
A_StdNN,4,8,0.1,0.003873119130730629,0.5924063920974731,1.3971333503723145,1.9372484683990479
B_PINN,0,2,0.0,1.1685372591018677,0.7926968932151794,3.418276786804199,11.56701111793518
B_PINN,0,2,0.05,1.153846025466919,0.7401542067527771,4.574902057647705,11.56701111793518
B_PINN,0,2,0.1,1.132591962814331,0.6626072525978088,5.148863792419434,11.56701111793518
B_PINN,0,4,0.0,0.010213966481387615,0.04791443794965744,0.11958374083042145,11.56701111793518
B_PINN,0,4,0.05,0.008664246648550034,0.04910404235124588,0.12554021179676056,11.56701111793518
B_PINN,0,4,0.1,0.007498464547097683,0.051399115473032,0.1361318975687027,11.56701111793518
B_PINN,0,6,0.0,0.007947309873998165,0.01351084467023611,0.02160820923745632,11.56701111793518
B_PINN,0,6,0.05,0.010323967784643173,0.013273601420223713,0.02895418182015419,11.56701111793518
B_PINN,0,6,0.1,0.014583608135581017,0.013137120753526688,0.05042821541428566,11.56701111793518
B_PINN,0,8,0.0,0.004813130479305983,0.014682900160551071,0.020954230800271034,11.56701111793518
B_PINN,0,8,0.05,0.005459006875753403,0.014913472346961498,0.036701153963804245,11.56701111793518
B_PINN,0,8,0.1,0.0075061870738863945,0.016424523666501045,0.06606116890907288,11.56701111793518
B_PINN,1,2,0.0,2.268824338912964,2.867656946182251,10.413976669311523,16.301187992095947
B_PINN,1,2,0.05,2.245701313018799,2.7586493492126465,9.87711238861084,16.301187992095947
B_PINN,1,2,0.1,2.198244571685791,2.4905765056610107,9.25130844116211,16.301187992095947
B_PINN,1,4,0.0,0.00908887293189764,0.045522235333919525,0.10764172673225403,16.301187992095947
B_PINN,1,4,0.05,0.006321792025119066,0.04692590609192848,0.11496645957231522,16.301187992095947
B_PINN,1,4,0.1,0.0026796874590218067,0.05078532546758652,0.12390404939651489,16.301187992095947
B_PINN,1,6,0.0,0.001967788441106677,0.014425312168896198,0.019124304875731468,16.301187992095947
B_PINN,1,6,0.05,0.0026116252411156893,0.014967831782996655,0.022449960932135582,16.301187992095947
B_PINN,1,6,0.1,0.005397507455199957,0.016060810536146164,0.03075479529798031,16.301187992095947
B_PINN,1,8,0.0,0.0027498684357851744,0.012892481870949268,0.016340816393494606,16.301187992095947
B_PINN,1,8,0.05,0.003479969222098589,0.01334293931722641,0.02047416940331459,16.301187992095947
B_PINN,1,8,0.1,0.006362331099808216,0.0142985749989748,0.02980121225118637,16.301187992095947
B_PINN,2,2,0.0,0.22154594957828522,0.02894236147403717,0.19886428117752075,12.16583776473999
B_PINN,2,2,0.05,0.22402730584144592,0.030002348124980927,0.11523422598838806,12.16583776473999
B_PINN,2,2,0.1,0.22670787572860718,0.028598161414265633,0.20104056596755981,12.16583776473999
B_PINN,2,4,0.0,0.0028275346849113703,0.016499929130077362,0.023979902267456055,12.16583776473999
B_PINN,2,4,0.05,0.00409644516184926,0.01726328209042549,0.05204598605632782,12.16583776473999
B_PINN,2,4,0.1,0.007522739004343748,0.01826588064432144,0.1391758918762207,12.16583776473999
B_PINN,2,6,0.0,0.00511042820289731,0.008442908525466919,0.010299772024154663,12.16583776473999
B_PINN,2,6,0.05,0.006865483708679676,0.00955939944833517,0.058777403086423874,12.16583776473999
B_PINN,2,6,0.1,0.010744580067694187,0.012391623109579086,0.2027910202741623,12.16583776473999
B_PINN,2,8,0.0,0.0031706022564321756,0.00906936265528202,0.009699405170977116,12.16583776473999
B_PINN,2,8,0.05,0.004552136175334454,0.009784739464521408,0.04470891132950783,12.16583776473999
B_PINN,2,8,0.1,0.007797630969434977,0.011824142187833786,0.17504143714904785,12.16583776473999
B_PINN,3,2,0.0,1.999039888381958,1.1557201147079468,5.2565226554870605,15.38068962097168
B_PINN,3,2,0.05,2.014345169067383,1.046483039855957,4.328310012817383,15.38068962097168
B_PINN,3,2,0.1,2.026435136795044,0.9218945503234863,3.6206769943237305,15.38068962097168
B_PINN,3,4,0.0,0.01581006497144699,0.015548866242170334,0.02653641067445278,15.38068962097168
B_PINN,3,4,0.05,0.01644239015877247,0.014790091663599014,0.022172532975673676,15.38068962097168
B_PINN,3,4,0.1,0.017599601298570633,0.01497892290353775,0.023148778825998306,15.38068962097168
B_PINN,3,6,0.0,0.014081304892897606,0.012392508797347546,0.02190081775188446,15.38068962097168
B_PINN,3,6,0.05,0.015020584687590599,0.01193331927061081,0.025576747953891754,15.38068962097168
B_PINN,3,6,0.1,0.017241256311535835,0.011261297389864922,0.030438687652349472,15.38068962097168
B_PINN,3,8,0.0,0.010484449565410614,0.016044747084379196,0.025461722165346146,15.38068962097168
B_PINN,3,8,0.05,0.0112955616787076,0.015230242162942886,0.024658478796482086,15.38068962097168
B_PINN,3,8,0.1,0.013004795648157597,0.01483745314180851,0.026389161124825478,15.38068962097168
B_PINN,4,2,0.0,0.5615428686141968,0.06559669971466064,0.639687180519104,13.2147696018219
B_PINN,4,2,0.05,0.543580949306488,0.07801010459661484,0.47158360481262207,13.2147696018219
B_PINN,4,2,0.1,0.5249572992324829,0.07970711588859558,0.37013304233551025,13.2147696018219
B_PINN,4,4,0.0,0.026030687615275383,0.018286054953932762,0.05760534107685089,13.2147696018219
B_PINN,4,4,0.05,0.029249729588627815,0.01798475719988346,0.08207236230373383,13.2147696018219
B_PINN,4,4,0.1,0.036013163626194,0.016061773523688316,0.1106935366988182,13.2147696018219
